Start,Finish,Duration,Age,Dialogue/Interaction_unit,Number,CDS,Utterance_type,Participant,Language,Initiation,Response_yes,Transcription,TCH_Language,
21948.3893,21951.21052,2.821225,12,292,1,0,Sem,TCH,TCH,1,1,Baba,Rus,"289.1.CH.Sem.""Baba"".Init"
22087.08209,22087.47102,0.388934,12,292,2,1,Imit,S2,Rus,0,0,Baba,,"289.2.CDS.Imit.""Baba"".S2.Rus.RN"
22088.41723,22089.20091,0.783673,12,293,1,0,Voc,TCH,TCH,1,1,,,449.CH.Voc
22174.23238,22174.99864,0.766258,12,293,2,1,Excl,S2,Rus,0,0,,,449.CDS.Excl
22175.68943,22176.49052,0.801089,12,294,1,0,Voc,TCH,TCH,1,1,,,290.1.CH.Voc.Init
22456.27356,22456.77279,0.499229,12,294,2,1,Decl,S2,Rus,0,1,,,290.2.CDS.Decl.S2.Rus.RY
22456.77279,22457.33007,0.557279,12,294,3,0,Voc,TCH,TCH,0,0,,,290.3.CH.Voc.RN
22546.01869,22546.57016,0.551474,12,295,1,1,Excl,S1,Rus,1,1,,,291.1.CDS.Excl.S1.Rus.Init
22546.81977,22547.86467,1.044898,12,295,2,0,Voc,TCH,TCH,0,1,,,291.2.CH:Voc.RY
22552.7873,22554.24435,1.457052,12,295,3,1,Interr,S1,Rus,0,0,,,291.3.CDS.Interr.S1.Rus.RN
22566.67864,22568.25179,1.573152,12,296,1,1,Excl,S1,Rus,1,1,,,292.1.CDS.Excl.S1.Rus.Init
22569.94104,22570.43447,0.493424,12,296,2,0,Icon,TCH,TCH,0,1,"(""smelling"")",,292.2.CH.Icon.(@smelling@)RY
22570.71891,22571.25878,0.539864,12,296,3,1,Decl,S1,Rus,0,1,,,292.3.CDS.Decl.S1.Rus.RY
22576.66322,22578.16671,1.503492,12,296,4,0,Voc,TCH,TCH,0,1,,,292.4.CH.Voc.RY
22579.50766,22580.44807,0.940409,12,296,5,1,Interr,S2,Rus,0,0,,,292.5.CDS.Interr.S2.Rus.RN
22581.35946,22583.91946,2.56,12,297,1,0,Voc,TCH,TCH,1,1,,,293.1.CH.Voc.Init
22584.09941,22584.97596,0.876554,12,297,2,1,Interr,S1,Rus,0,1,,,293.2.CDS.Interr.S1.Rus.RY
22585.03982,22585.58549,0.545669,12,297,3,0,Voc,TCH,TCH,0,1,,,293.3.CH.Voc.RY
22592.74304,22593.24227,0.499229,12,297,4,1,Excl,S1,Rus,0,0,,,293.4.CDS.Excl.S1.Rus.RN
22593.82857,22594.7864,0.957824,12,298,1,0,Icon,TCH,TCH,1,1,Kar-kar,Rus,"294.1.CH.Icon.""Kar-kar"".Init"
22602.10068,22602.95401,0.853334,12,298,2,1,Icon,S1,Rus,0,1,"Da kva-kva, konechno",,"294.2.CDS.Icon.""Da kva-kva, konechno"".S1.Rus.RY"
22604.08599,22605.95519,1.869207,12,298,3,0,Voc,TCH,TCH,0,1,,,294.3.CH.Voc.RY
22628.79782,22629.83111,1.033288,12,298,4,1,Imit,S2,Rus,0,1,,,294.4.CDS.Imit.S2.Rus.RY
22629.83111,22632.17052,2.339411,12,298,5,0,Voc,TCH,TCH,0,1,,,294.5.CH.Voc.RY
22632.33306,22633.90621,1.573152,12,298,6,1,Decl,S2,Rus,0,0,,,294.6.CDS.Decl.S2.Rus.RN
22635.0498,22635.58386,0.534059,12,299,1,1,Imper,S1,Rus,1,1,,,295.1.CDS.Imper.S1.Rus.Init
22642.9678,22644.0185,1.050703,12,299,2,0,Voc,TCH,TCH,0,1,,,295.2.CH.Voc.RY
22645.74259,22649.37651,3.633923,12,299,3,1,Imper,S1,Rus,0,1,,,295.3.CDS.Imper.S1.Rus.RY
22678.96454,22680.85116,1.886621,12,299,4,0,Voc,TCH,TCH,0,1,,,295.4.CH.Voc.RY
22680.84535,22681.41424,0.568889,12,299,5,1,Interr,S1,Rus,0,1,,,295.5.CDS.Interr.S1.Rus.RY
22681.52454,22682.77261,1.248073,12,299,6,0,Voc,TCH,TCH,0,1,,,295.6.CH.Voc.RY
22683.18476,22683.64916,0.464399,12,299,7,1,Decl,S1,Rus,0,1,,,295.7.CDS.Decl.S1.Rus.RY
22684.29932,22685.62286,1.323537,12,299,8,0,Voc,TCH,TCH,0,1,,,295.7.CH.Voc.RY
22694.06331,22694.34195,0.278639,12,299,9,1,Excl,S1,Rus,0,0,,,295.8.CDS.Excl.S1.Rus.RN
22694.34195,22696.87873,2.53678,12,300,1,0,Voc,TCH,TCH,1,1,,,296.1.CH.Voc.Init
22697.73206,22698.03392,0.30186,12,300,2,1,Imper,S1,Rus,0,1,,,296.2.CDS.Imper.S1.Rus.RY
22698.03973,22699.82766,1.787936,12,300,3,0,Voc,TCH,TCH,0,1,,,296.3.CH.Voc.RY
22748.78694,22749.3268,0.539864,12,300,4,1,Decl,S1,Rus,0,0,,,296.4.CDS.Decl.S1.Rus.RN
22749.59964,22750.11628,0.516644,12,301,1,1,Valid,S1,Rus,1,1,,,297.1.CDS.Valid.S1.Rus.Init
22750.87674,22751.31791,0.441179,12,301,2,0,Voc,TCH,TCH,0,1,,,297.2.CH.Voc.RY
22751.4166,22752.50794,1.091338,12,301,3,1,Valid,S1,Rus,0,1,,,297.3.CDS.Valid.S1.Rus.RY
22835.94304,22836.41905,0.476009,12,301,4,0,Voc,TCH,TCH,0,1,,,297.4.CH.Voc.RY
22837.59166,22838.44499,0.853334,12,301,5,1,Interr,S1,Rus,0,1,,,297.5..CDS.Interr.S1.Rus.RY
22838.4566,22839.10676,0.650158,12,301,6,0,Voc,TCH,TCH,0,1,,,297.6.CH.Voc.RY
22839.18222,22840.12263,0.940408,12,301,7,1,Decl,S1,Rus,0,0,,,297.7.CDS.Decl.S1.Rus.RN
22840.12263,22843.18767,3.065035,12,302,1,0,Voc,TCH,TCH,1,1,,,298.1.CH.Voc.Init
22846.19465,22846.77515,0.580498,12,302,2,1,Decl,S1,Rus,0,1,,,298.2.CDS.Decl.S1.Rus.RY
22846.77515,22847.33243,0.557279,12,302,3,0,Icon,TCH,TCH,0,1,Oppa! Oppa!,,"298.3.CH.Icon.""Oppa! Oppa!""RY"
22932.06785,22932.50903,0.441179,12,302,4,1,Excl,S1,Rus,0,1,,,298.4.CDS.Excl.S1.Rus.RY
22932.52064,22934.66848,2.147846,12,302,5,0,Voc,TCH,TCH,0,1,,,298.5.CH.Voc.RY
